City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,atlantic,39.4668,-74.6663,7.93,52,0,4.12,US,1702413278
214,nouadhibou,20.931,-17.0347,22.99,28,99,3.6,MR,1702413279
215,el granada,37.5027,-122.4694,18.26,74,0,6.17,US,1702413279
216,panama city beach,30.1766,-85.8055,16.72,37,0,4.12,US,1702413063
217,remire-montjoly,4.9167,-52.2667,27.02,89,75,1.54,GF,1702413279
218,mati,6.9551,126.2166,23.62,85,52,1.74,PH,1702413279
219,sungai penuh,-2.0833,101.3833,17.9,98,100,0.45,ID,1702413279
220,tolanaro,-25.0319,46.9987,26.04,83,20,6.17,MG,1702413280
221,hawaiian paradise park,19.5933,-154.9731,26.61,84,0,2.06,US,1702413174
222,dawei,14.0833,98.2,22.74,82,41,1.66,MM,1702413280
223,broken hill,-31.95,141.4333,23.39,33,0,1.42,AU,1702413280
224,opuwo,-18.0607,13.84,24.21,26,83,3.59,NA,1702413280
225,kapuskasing,49.4169,-82.4331,-7.95,86,100,3.6,CA,1702413280
226,katsuura,35.1333,140.3,10.62,73,68,7.66,JP,1702413280
227,nagqu,31.5,92.0,-11.95,96,100,1.6,CN,1702413281
228,howrah,22.5892,88.3103,17.0,82,0,0.0,IN,1702413281
229,viedma,-40.8135,-62.9967,21.14,36,80,6.91,AR,1702413026
230,dauphin,51.1494,-100.0502,-6.92,53,100,3.6,CA,1702413281
231,cabo san lucas,22.8909,-109.9124,29.78,51,40,3.09,MX,1702413281
232,honefoss,60.168,10.2565,-4.16,98,95,1.62,NO,1702413052
233,arteche,12.2645,125.4048,26.0,88,23,4.76,PH,1702413281
234,dudinka,69.4058,86.1778,-27.4,89,96,8.05,RU,1702413281
235,ust-nera,64.5667,143.2,-23.55,99,100,3.42,RU,1702413282
236,port douglas,-16.4833,145.4667,26.05,83,100,4.02,AU,1702413282
237,carnarvon,-24.8667,113.6333,22.98,74,0,5.28,AU,1702413282
238,ola,59.5833,151.2833,-8.85,86,100,3.27,RU,1702413282
239,chifeng,42.2683,118.9636,-13.45,62,62,1.84,CN,1702413230
240,villa union,23.2,-106.2333,29.98,51,40,0.0,MX,1702413283
241,al mijlad,11.0333,27.7333,23.53,18,97,9.63,SD,1702413283
242,klyuchi,52.2667,79.1667,-25.68,82,10,3.78,RU,1702413283
243,mbandaka,0.0487,18.2603,22.43,98,100,1.38,CD,1702413283
244,ghadamis,30.1337,9.5007,15.37,29,0,2.9,LY,1702413283
245,namibe,-15.1961,12.1522,23.54,75,90,1.47,AO,1702413283
246,santa ines,-3.6667,-45.38,31.38,45,32,0.66,BR,1702413089
247,langxiang,46.95,128.8833,-26.63,98,5,1.5,CN,1702413284
248,ebolowa,2.9,11.15,21.08,70,99,0.48,CM,1702413284
249,rudbar,30.15,62.6,11.89,44,94,0.38,AF,1702413284
250,isafjordur,66.0755,-23.124,0.9,89,100,6.02,IS,1702413284
251,guercif,34.2257,-3.3536,19.2,51,100,3.31,MA,1702413284
252,sao gabriel da cachoeira,-0.1303,-67.0892,27.92,93,79,0.4,BR,1702413159
253,atafu village,-8.5421,-172.5159,28.54,77,100,7.44,TK,1702413285
254,kerikeri,-35.2268,173.9474,16.62,79,100,0.45,NZ,1702413285
255,charters towers,-20.1,146.2667,24.21,76,91,7.87,AU,1702413285
256,san antonio de pale,-1.4014,5.6325,27.06,79,71,3.05,GQ,1702413285
257,kapa'a,22.0752,-159.319,25.99,88,100,2.57,US,1702413285
258,at taj,24.2049,23.2857,12.37,62,0,4.58,LY,1702413005
259,sao jose da coroa grande,-8.8978,-35.1478,26.56,76,41,4.71,BR,1702413285
260,yeniseysk,58.4497,92.1703,-33.36,99,30,1.34,RU,1702413285
261,colonia,50.9333,6.95,11.05,90,20,3.6,DE,1702413105
262,saint-flour,45.0833,3.0,5.49,95,100,4.5,FR,1702413286
263,bijie,27.3125,105.2942,11.32,90,0,3.67,CN,1702413286
264,maumere,-8.6199,122.2111,26.99,82,93,2.25,ID,1702413286
265,puerto baquerizo moreno,-0.9,-89.6,28.55,70,40,5.14,EC,1702413286
266,itaituba,-4.2761,-55.9836,33.09,58,20,3.6,BR,1702413286
267,limassol,34.675,33.0333,15.04,82,0,2.06,CY,1702413287
268,codrington,-38.2667,141.9667,18.58,89,100,2.67,AU,1702413287
269,happy valley-goose bay,53.3168,-60.3315,-2.83,68,100,3.6,CA,1702413021
270,saint-pierre,-21.3393,55.4781,23.82,69,75,2.57,RE,1702413287
